fk_user_id,fk_label_id
1,287
1,265
1,136
1,169
2,145
4,90
4,89
4,187
4,221
4,118
4,143
5,315
5,148
5,96
5,99
6,198
6,188
6,143
6,106
6,154
6,102
6,29
6,101
7,108
7,56
7,231
7,297
7,318
8,252
8,236
8,151
9,197
9,181
9,189
9,44
9,212
9,154
10,77
10,57
10,60
10,45
10,70
10,10
10,129
10,81
11,225
11,14
11,240
11,155
12,98
12,123
12,315
12,90
12,30
12,62
12,139
12,206
12,191
13,307
13,127
13,129
13,117
13,141
13,280
14,121
14,80
14,105
14,88
14,60
16,199
16,264
16,207
16,73
16,81
16,119
16,71
16,214
16,163
16,295
17,93
17,298
17,297
17,258
17,27
17,113
17,57
17,306
18,260
18,270
19,169
19,212
19,107
19,137
19,61
19,240
20,291
20,297
20,74
20,228
20,68
21,281
21,277
21,38
21,283
21,256
21,190
22,270
22,59
22,42
22,167
22,273
22,107
22,237
23,29
23,80
23,162
23,309
23,214
23,16
23,239
24,17
24,136
24,238
24,124
24,250
24,267
24,190
24,197
24,283
24,39
25,309
25,50
25,246
25,181
25,194
25,58
25,70
25,317
25,31
26,289
26,116
27,189
27,41
27,20
27,156
27,259
27,164
27,155
27,274
28,248
28,260
29,200
29,123
29,36
29,65
29,272
29,37
29,254
29,246
29,306
30,110
30,241
30,106
30,3
30,136
30,43
31,243
31,151
31,117
32,152
33,26
33,289
33,118
33,120
33,40
34,111
34,195
34,125
34,224
34,194
34,98
35,111
35,265
35,83
35,170
35,111
35,213
36,48
36,80
36,313
36,185
37,207
37,44
37,60
37,246
37,306
38,235
38,26
38,282
38,55
38,308
38,91
38,320
38,26
39,174
39,17
39,224
39,311
39,310
39,209
40,109
40,170
40,318
40,105
40,223
41,65
42,133
42,34
43,226
43,226
43,138
43,223
43,270
43,290
43,181
43,106
43,237
43,314
44,70
44,141
44,194
44,44
44,113
44,148
44,156
44,80
45,141
45,89
45,27
45,307
45,55
46,241
46,164
46,7
46,96
46,261
46,317
46,235
46,10
47,79
47,166
47,20
47,314
47,120
47,75
47,120
47,319
47,213
47,125
48,223
48,27
48,278
48,306
48,70
48,207
49,118
49,192
49,152
49,273
49,98
50,245
50,97
50,207
50,288
50,184
51,60
51,276
52,63
52,306
53,284
54,264
54,132
