name,price,stock,brand,link,labels
Kartofler nye danske,5000,25,No brand,https://live.nemligstatic.com/scommerce/images/kartofler-nye-danske.jpg?i=woVQf0XZ/5001572&w=623&h=623&mode=pad,Kartoffel;Danmark;Solist
Kartofler nye danske vaskede,3500,20,No brand,https://live.nemligstatic.com/scommerce/images/kartofler-nye-danske-vaskede.jpg?i=M6vO1yjZ/5006745&w=623&h=623&mode=pad,Kartoffel;Danmark;Lille;Vasket;Solist
Bananer små øko.,1000,53,No brand,https://live.nemligstatic.com/scommerce/images/bananer-smaa-oeko.jpg?i=Qj-x-2an/5011242&w=623&h=623&mode=pad,Banan;Øko;Discount;Dominikanske Republik;Cavendish
Druer røde stenfri,2000,21,No brand,https://live.nemligstatic.com/scommerce/images/druer-roede-stenfri.jpg?i=7zvgWKmk/2301134&w=623&h=623&mode=pad,Crimson;Vindrue;Sydafrika;Crimson
Blåbær øko.,2000,21,No brand,https://live.nemligstatic.com/scommerce/images/blaabaer-oeko.jpg?i=rVczYJ5i/5043433&w=623&h=623&mode=pad,Spanien;Øko;Discount;Blåbær
Æble Royal Gala,250,43,No brand,https://live.nemligstatic.com/scommerce/images/aeble-royal-gala.jpg?i=Qj-x-2an/2301197&w=623&h=623&mode=pad,Æble;Italien;Frugt;Royal Gala;Discount;Rød
Hvidløg øko.,550,39,No brand,https://live.nemligstatic.com/scommerce/images/hvidloeg-oeko.jpg?i=LO6I3k0z/100160&w=623&h=623&mode=pad,Hvidløg;Kina;Discount;Øko
Agurk øko.,800,39,No brand,https://live.nemligstatic.com/scommerce/images/agurk-oeko.jpg?i=h0XZ3ZP4/106593&w=623&h=623&mode=pad,Agurk;Spanien;Discount;Øko;Grøn
Basilikum stor,3000,32,No brand,https://live.nemligstatic.com/scommerce/images/basilikum-stor.jpg?i=Qj-x-2an/5001714&w=623&h=623&mode=pad,Basilikum;Krydderurt;Danmark;Grøn
Mandler,3500,40,Nordthy,https://live.nemligstatic.com/scommerce/images/mandler.jpg?i=A2YIcDhs/5043285&w=623&h=623&mode=pad,Nødder
Hyldeblomstdrik øko.,3000,24,Bornholms Mosteri,https://live.nemligstatic.com/scommerce/images/hyldeblomstdrik-oeko.jpg?i=aCAX6k5n/5037967&w=623&h=623&mode=pad,Danmark;Øko;Most
Frugtavler most øko.,3000,64,Æblemosteriet,https://live.nemligstatic.com/scommerce/images/frugtavler-most-oeko.jpg?i=Qj-x-2an/5021786&w=623&h=623&mode=pad,Danmark;Øko;Æblemost
Laksefilet m. skind,14695,61,Amanda frisk fisk,https://live.nemligstatic.com/scommerce/images/laksefilet-m-skind.jpg?i=tKObVfsm/5026354&w=623&h=623&mode=pad,Laks;Norge;Filet;Nøglehulsmærket;Renset
Ribeye,16995,46,No brand,https://live.nemligstatic.com/scommerce/images/ribeye.jpg?i=Qj-x-2an/5024805&w=623&h=623&mode=pad,Danmark;Okse
